Lead_ID,Lead_Date,Lead_Source,Location,Property_Type, Budget ,Call_Attempts,Call_Status,Follow_Up,Site_Visit,Lead_Status,Sales_Value,Budget_Range
L0001,2026-01-01 00:00:00,Google,Thudiyalur,Apartment," 5,765,637.00 ",5,Connected,Yes,No,Follow-up,,50L-80L
L0002,2026-01-01 05:25:46,Referral,periyanayakanpalayam,Apartment," 4,024,374.00 ",5,Connected,Yes,Yes,Follow-up,,30L-50L
L0003,2026-01-01 10:51:32,Property Portal,Saravanampatti,Plot," 4,335,056.00 ",2,Connected,Yes,Yes,Converted,4400000,30L-50L
L0004,2026-01-01 16:17:18,Instagram,Ramanathapuram,Apartment," 6,773,587.00 ",4,Not Connected,Yes,No,Follow-up,,50L-80L
L0005,2026-01-01 21:43:04,Website,panneermadai,Apartment," 3,823,759.00 ",4,Connected,No,No,Lost,,30L-50L
L0006,2026-01-02 03:08:50,Website,Ramanathapuram,Villa," 7,679,328.00 ",6,Connected,Yes,No,Follow-up,,50L-80L
L0007,2026-01-02 08:34:36,Website,Ramanathapuram,Apartment," 4,650,654.00 ",3,Not Connected,No,No,Lost,,30L-50L
L0008,2026-01-02 14:00:22,Property Portal,panneermadai,Villa," 6,092,036.00 ",1,Not Connected,No,No,Lost,,50L-80L
L0009,2026-01-02 19:26:08,Instagram,Thudiyalur,Apartment," 3,853,392.00 ",3,Connected,No,No,Lost,,30L-50L
L0010,2026-01-03 00:51:54,Instagram,periyanayakanpalayam,Apartment," 7,690,457.00 ",3,Connected,Yes,No,Follow-up,,50L-80L
L0011,2026-01-03 06:17:39,Website,Thudiyalur,Apartment," 6,654,693.00 ",3,Not Connected,No,No,Lost,,50L-80L
L0012,2026-01-03 11:43:25,Referral,Saravanampatti,Apartment," 3,293,946.00 ",2,Connected,Yes,No,Follow-up,,30L-50L
L0013,2026-01-03 17:09:11,Property Portal,Saravanampatti,Plot," 2,142,927.00 ",5,Connected,Yes,No,Follow-up,,Below 30L
L0014,2026-01-03 22:34:57,Google,Thudiyalur,Apartment," 4,266,389.00 ",6,Connected,Yes,No,Follow-up,,30L-50L
L0015,2026-01-04 04:00:43,Website,Ramanathapuram,Apartment," 4,388,509.00 ",1,Not Connected,No,No,Lost,,30L-50L
L0016,2026-01-04 09:26:29,Website,Saravanampatti,Apartment," 3,483,779.00 ",1,Connected,Yes,Yes,Follow-up,,30L-50L
L0017,2026-01-04 14:52:15,Google,Thudiyalur,Apartment," 8,994,134.00 ",1,Not Connected,No,No,Lost,,80L-1.2Cr
L0018,2026-01-04 20:18:01,Facebook,periyanayakanpalayam,Plot," 4,123,854.00 ",4,Connected,Yes,Yes,Converted,3900000,30L-50L
L0019,2026-01-05 01:43:47,Facebook,Saravanampatti,Apartment," 4,983,456.00 ",3,Not Connected,Yes,No,Follow-up,,30L-50L
L0020,2026-01-05 07:09:33,Google,Thudiyalur,Villa," 11,879,960.00 ",3,Connected,Yes,Yes,Follow-up,,80L-1.2Cr
L0021,2026-01-05 12:35:19,Instagram,Ramanathapuram,Plot," 5,251,672.00 ",2,Connected,No,No,Lost,,50L-80L
L0022,2026-01-05 18:01:05,Website,Coimbatore,Villa," 7,624,777.00 ",3,Connected,Yes,Yes,Converted,7450000,50L-80L
L0023,2026-01-05 23:26:51,Google,Saravanampatti,Plot," 5,514,266.00 ",2,Connected,Yes,No,Follow-up,,50L-80L
L0024,2026-01-06 04:52:37,Google,Saravanampatti,Apartment," 4,729,578.00 ",2,Connected,No,Yes,Lost,,30L-50L
L0025,2026-01-06 10:18:23,Facebook,Saravanampatti,Apartment," 3,095,556.00 ",4,Connected,Yes,No,Follow-up,,30L-50L
L0026,2026-01-06 15:44:09,Property Portal,periyanayakanpalayam,Apartment," 8,992,357.00 ",6,Connected,No,No,Lost,,80L-1.2Cr
L0027,2026-01-06 21:09:55,Website,Saravanampatti,Villa," 6,652,755.00 ",5,Connected,Yes,No,Converted,6550000,50L-80L
L0028,2026-01-07 02:35:41,Facebook,panneermadai,Plot," 2,929,210.00 ",5,Connected,Yes,Yes,Converted,2800000,Below 30L
L0029,2026-01-07 08:01:26,Instagram,Coimbatore,Apartment," 5,838,951.00 ",2,Not Connected,No,No,Lost,,50L-80L
L0030,2026-01-07 13:27:12,Website,panneermadai,Villa," 7,094,409.00 ",2,Not Connected,No,No,Lost,,50L-80L
L0031,2026-01-07 18:52:58,Instagram,Thudiyalur,Apartment," 6,283,587.00 ",4,Connected,No,Yes,Converted,6200000,50L-80L
L0032,2026-01-08 00:18:44,Website,periyanayakanpalayam,Villa," 7,513,083.00 ",5,Connected,Yes,Yes,Follow-up,,50L-80L
L0033,2026-01-08 05:44:30,Website,Thudiyalur,Apartment," 5,898,950.00 ",1,Not Connected,Yes,No,Follow-up,,50L-80L
L0034,2026-01-08 11:10:16,Referral,Thudiyalur,Plot," 5,522,155.00 ",2,Connected,No,No,Lost,,50L-80L
L0035,2026-01-08 16:36:02,Referral,Thudiyalur,Villa," 9,511,931.00 ",1,Connected,Yes,No,Follow-up,,80L-1.2Cr
L0036,2026-01-08 22:01:48,Property Portal,Ramanathapuram,Apartment," 4,079,525.00 ",3,Connected,No,Yes,Converted,3900000,30L-50L
L0037,2026-01-09 03:27:34,Google,Coimbatore,Apartment," 3,854,568.00 ",2,Connected,Yes,Yes,Converted,3900000,30L-50L
L0038,2026-01-09 08:53:20,Website,Ramanathapuram,Apartment," 3,061,842.00 ",2,Not Connected,No,No,Lost,,30L-50L
L0039,2026-01-09 14:19:06,Instagram,Thudiyalur,Apartment," 4,789,135.00 ",1,Connected,Yes,No,Follow-up,,30L-50L
L0040,2026-01-09 19:44:52,Facebook,Coimbatore,Apartment," 4,630,357.00 ",2,Not Connected,Yes,No,Follow-up,,30L-50L
L0041,2026-01-10 01:10:38,Website,periyanayakanpalayam,Plot," 2,237,090.00 ",5,Connected,Yes,Yes,Converted,2200000,Below 30L
L0042,2026-01-10 06:36:24,Facebook,panneermadai,Villa," 6,787,738.00 ",1,Connected,Yes,No,Follow-up,,50L-80L
L0043,2026-01-10 12:02:10,Website,Coimbatore,Apartment," 4,873,217.00 ",3,Connected,No,No,Lost,,30L-50L
L0044,2026-01-10 17:27:56,Referral,Ramanathapuram,Apartment," 4,761,446.00 ",3,Connected,No,No,Converted,4650000,30L-50L
L0045,2026-01-10 22:53:42,Google,Saravanampatti,Plot," 1,930,179.00 ",5,Connected,Yes,No,Follow-up,,Below 30L
L0046,2026-01-11 04:19:28,Instagram,Ramanathapuram,Villa," 6,280,833.00 ",1,Connected,Yes,Yes,Converted,6600000,50L-80L
L0047,2026-01-11 09:45:14,Google,Thudiyalur,Apartment," 8,409,825.00 ",6,Not Connected,No,No,Lost,,80L-1.2Cr
L0048,2026-01-11 15:10:59,Facebook,Thudiyalur,Villa," 8,283,785.00 ",3,Not Connected,Yes,No,Follow-up,,80L-1.2Cr
L0049,2026-01-11 20:36:45,Facebook,Saravanampatti,Apartment," 5,334,875.00 ",6,Connected,Yes,No,Follow-up,,50L-80L
L0050,2026-01-12 02:02:31,Website,Thudiyalur,Apartment," 5,278,800.00 ",5,Connected,No,No,Lost,,50L-80L
L0051,2026-01-12 07:28:17,Referral,Saravanampatti,Apartment," 4,410,295.00 ",1,Not Connected,No,No,Converted,4300000,30L-50L
